"year","war","ccodea","ccodeb","original","contig.x","rivals","allies","democ_a","pow_prev","mil_prev","pow_abs","mil_abs","relpow","rate","powershift","lndistance","contig.y","dem","s_un_glo","peaceyrs","peaceyrs2","peaceyrs3","real"
1896,1,350,640,1,1,1,0,1,0,0,0,0,0.126197203993797,2.3025,0.00639688968658447,6.2324481010437,1,0,0.897436022758484,7,49,343,2.32857918
1897,0,130,300,1,0,0,0,0,0,0,0,0,0.00863260589540005,2.265,0.00260752439498901,8.77307510375977,0,0,0.726495981216431,43,1849,79507,2.160703635
1897,0,225,220,1,1,0,0,1,-0.000727900012861937,-0.000337400007992983,0.000727900012861937,0.000337400007992983,0.0198880843818188,2.265,0.000616192817687988,5.61312818527222,1,1,0.846153974533081,99,9801,970299,2.160703635
1898,1,2,230,1,0,0,0,1,-0.00366899999789894,-0.0125200003385544,0.00366899999789894,0.0125200003385544,0.139033511281013,2.2875,0.0860848426818848,8.23932933807373,0,0,0.899999976158142,1,1,1,2.086221096
1899,0,130,740,1,0,0,0,0,0,0,0,0,0.0184597447514534,2.38,0.00117295980453491,9.10242080688477,0,0,0.902438998222351,39,1521,59319,2.112426261
1899,0,160,150,1,1,0,0,0,0,0,0,0,0.0326003395020962,2.38,0.259762346744537,6.47234630584717,1,0,0.902438998222351,23,529,12167,2.112426261
1899,0,225,255,1,1,0,0,1,-0.000224799994612113,0,0.000224799994612113,0,0.0167132038623095,2.38,0.00183141231536865,6.1506028175354,1,0,0.756097972393036,41,1681,68921,2.112426261
1900,1,740,710,1,0,1,0,0,-0.00343400007113814,-0.0102800000458956,0.00343400007113814,0.0102800000458956,0.222414255142212,2.545,0.0311596393585205,7.17472410202026,0,0,0.857142984867096,4,16,64,2.247259952
1900,1,365,710,1,1,1,1,0,-0.00286999996751547,0,0.00286999996751547,0,0.929610848426819,2.545,0.0260925590991974,8.18896675109863,1,0,0.952381014823914,1,1,1,2.247259952
1900,1,2,710,1,0,0,0,1,-0.00576800014823675,-0.00951199978590012,0.00576800014823675,0.00951199978590012,0.674063980579376,2.545,0.0538052320480347,8.84361553192139,0,0,0.857142984867096,29,841,24389,2.247259952
1900,1,220,710,1,0,1,0,1,0.0031300000846386,0.00338999996893108,0.0031300000846386,0.00338999996893108,0.899228274822235,2.545,0.0270554721355438,8.53875923156738,0,0,0.904762029647827,1,1,1,2.247259952
1900,0,200,150,1,0,0,0,1,3.38999998348299e-05,7.55000000935979e-05,3.38999998348299e-05,7.55000000935979e-05,0.000730414350982755,2.545,0.00867187045514584,8.75636768341064,0,0,0.84127002954483,24,576,13824,2.247259952
1900,1,365,710,1,1,1,1,0,-0.00286999996751547,0,0.00286999996751547,0,0.929610848426819,2.545,0.0260925590991974,8.18896675109863,1,0,0.952381014823914,1,1,1,2.247259952
1900,1,200,710,1,0,0,0,1,0.00258000008761883,-0.00455900002270937,0.00258000008761883,0.00455900002270937,0.573590576648712,2.545,0.0234127342700958,8.52931976318359,0,0,0.793650984764099,1,1,1,2.247259952
1901,0,165,255,1,0,0,0,0,0,0.00032299998565577,0,0.00032299998565577,0.00927083287388086,2.69,-0.000362515449523926,8.90191078186035,0,0,0.756097972393036,19,361,6859,2.388620395
1903,0,200,2,1,0,0,0,1,0.00882000010460615,0.00561999995261431,0.00882000010460615,0.00561999995261431,0.849709153175354,2.785,0.0543813705444336,8.20740222930908,0,1,0.793650984764099,0,0,0,2.450974506
1903,0,200,225,1,0,0,0,1,0.000303999986499548,-0.000600999977905303,0.000303999986499548,0.000600999977905303,0.012265901081264,2.785,0.002171715721488,6.1441855430603,0,1,0.793650984764099,255,65025,16581375,2.450974506
